Country Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Mali;571.657689431892;640.530720148166;640.79779339318;677.88657419242;666.955391075985;687.934851299631;696.675073310536;697.348629332027;706.710829569482;716.912788939413;731.533799366647;732.397367275176;705.139449427044;700.697599602132;728.878296059105;751.472889186889;
Malta;17189.4893099022;16860.4481199959;17164.5221265623;17746.7060371756;17652.6398225425;18133.9715808333;18521.5561297871;19338.3447044487;19948.0828168895;19573.7711179956;20557.6463835752;20566.3364305547;21221.5116404443;22070.9672741161;23286.1231094786;24921.6036820869;
Myanmar;309.965722542399;344.880441479693;381.389356656284;426.9195970664;481.233845495789;542.219129220385;609.996016874932;681.817045453214;752.6491323366;825.694869299286;902.541852601492;962.995432623463;1017.01434281131;1088.0595193046;1167.63096899415;1196.74333308526;
Middle East & North Africa (excluding high income);3181.88034693488;3211.21024528769;3253.08298729053;3269.41434012645;3463.3525646412;3557.89349970424;3676.34022787206;3833.6009864388;3907.17989744287;3940.07755478167;4074.48615752247;3959.52093591769;4029.94130676426;3974.41925224571;3971.91862993967;3931.55627842464;
Montenegro;4431.59838848296;4462.34780507364;4529.12117825919;4623.0738928582;4819.14559618173;5013.19354613732;5435.88366763064;5798.06224980216;6205.81833214132;5833.65680393684;5982.19647463471;6168.84548867328;5995.77163480183;6202.50378943662;6307.01559868803;6517.18961381857;
Mongolia;1592.23399464058;1624.22338454042;1684.61960106613;1783.99876235834;1951.713417533;2068.39854406113;2216.92288107669;2411.16654917866;2587.77793310054;2514.91655539994;2629.64832648446;3028.16166045052;3335.79359166005;3650.60150914091;3860.32572305764;3875.32167504717;
Northern Mariana Islands;;;27513.4416132841;27826.0396699159;27305.9737839612;24129.4584124442;22737.1955246557;21475.2798289881;19305.7060415769;16038.4522048175;16329.5327513148;15111.9623839154;15152.2963587929;15422.2102749099;15916.8583175382;16314.3835493645;
Mozambique;294.6470989432;321.018022559248;340.704972571735;353.460821303204;370.341198674472;383.711023012615;409.205048664121;428.769641897792;447.684649553483;463.119787635203;479.884796445496;501.500568690852;523.294375999906;544.447864731899;568.591701966781;589.85943137707;
Mauritania;1296.32314562978;1251.60793613145;1234.32629917842;1283.32568076694;1306.52140891798;1378.59668747757;1585.35785154986;1510.16656621179;1462.36890104331;1421.88395975277;1417.05092081883;1433.33714808593;1453.81345681489;1470.15489413733;1488.77795050549;1524.07331727933;
Mauritius;5533.9769181469;5674.22243856748;5725.96625192417;6021.5217597409;6242.9818481763;6316.44295961831;6592.95073311984;6938.84969212142;7286.24591388098;7507.82797143711;7817.84111875927;8123.59698249664;8384.32378311196;8646.99223638134;8954.55747253886;9260.44730250635;
Malawi;294.343918110069;272.770294274917;270.736963500592;279.351216995749;287.272153874339;289.046857622913;294.520400384725;313.888111242712;328.365941332224;345.634998575313;358.940902749287;365.736103612199;362.131565885079;370.300824294729;380.588978300864;380.596987683774;
Malaysia;6392.58085479131;6286.13486114986;6488.38466433227;6727.67104244459;7043.77616581093;7274.97109653712;7531.364872413;7850.42653495737;8073.93441630848;7808.65800789251;8247.78226163172;8550.15463797273;8888.70252220725;9179.36682064604;9601.17800253913;9955.24272167626;
